COMPETENCY;MIN DUPLICATION;MAX DUPLICATION
LOCALTEST 1;4;7
LOCALTEST 2;4;6
LOCALTEST 3;6;7
LOCALTEST 4;2;5
LOCALTEST 5;5;7
LOCALTEST 6;2;3
LOCALTEST 7;2;4
LOCALTEST 8;4;7
LOCALTEST 9;5;7
LOCALTEST 10;4;6
LOCALTEST 11;1;3
LOCALTEST 12;2;3
LOCALTEST 13;1;2
LOCALTEST 14;2;2
LOCALTEST 15;1;2
LOCALTEST 16;2;2
LOCALTEST 17;2;2
LOCALTEST 18;1;2
LOCALTEST 19;2;2
LOCALTEST 20;1;2
LOCALTEST 21;1;2
LOCALTEST 22;2;3
LOCALTEST 23;2;4
LOCALTEST 24;2;4
LOCALTEST 25;2;3
LOCALTEST 26;2;4
LOCALTEST 27;2;3
LOCALTEST 28;2;3
LOCALTEST 29;2;3
LOCALTEST 30;2;3
LOCALTEST 31;2;4
LOCALTEST 32;1;1
LOCALTEST 33;2;3
LOCALTEST 34;3;5
LOCALTEST 35;3;5
LOCALTEST 36;3;5
LOCALTEST 37;3;4
LOCALTEST 38;2;2
LOCALTEST 39;3;5
LOCALTEST 40;3;4
LOCALTEST 41;3;4
LOCALTEST 42;3;4
LOCALTEST 43;2;3
LOCALTEST 44;3;4
LOCALTEST 45;4;6
LOCALTEST 46;1;2
LOCALTEST 47;3;4
LOCALTEST 48;3;4
LOCALTEST 49;2;2
LOCALTEST 50;1;2
LOCALTEST 51;1;2
LOCALTEST 52;1;2
LOCALTEST 53;7;11
LOCALTEST 54;2;3
LOCALTEST 55;4;6
LOCALTEST 56;1;2
LOCALTEST 57;4;6
LOCALTEST 58;4;6
LOCALTEST 59;1;1
LOCALTEST 60;4;6
LOCALTEST 61;4;6
LOCALTEST 62;5;7
LOCALTEST 63;4;6
LOCALTEST 64;4;6
LOCALTEST 65;4;6
LOCALTEST 66;4;6
LOCALTEST 67;4;6
LOCALTEST 68;5;8
LOCALTEST 69;5;8
LOCALTEST 70;4;6
LOCALTEST 71;4;6
LOCALTEST 72;2;4
LOCALTEST 73;3;4
LOCALTEST 74;4;5
LOCALTEST 75;1;2
LOCALTEST 76;1;2
LOCALTEST 77;1;2
LOCALTEST 78;1;2
LOCALTEST 79;1;2
LOCALTEST 80;1;2
LOCALTEST 81;1;2
LOCALTEST 82;1;2
LOCALTEST 83;1;2
LOCALTEST 84;1;2
LOCALTEST 85;1;2
LOCALTEST 86;1;2
LOCALTEST 87;1;2
LOCALTEST 88;1;2
LOCALTEST 89;1;1
LOCALTEST 90;1;1
LOCALTEST 91;1;1
LOCALTEST 92;1;1
LOCALTEST 93;1;1
LOCALTEST 94;1;1
LOCALTEST 95;1;1
LOCALTEST 96;1;1
LOCALTEST 97;3;4
LOCALTEST 98;2;2
LOCALTEST 99;2;3
LOCALTEST 100;1;1
LOCALTEST 101;1;1
LOCALTEST 102;1;1
LOCALTEST 103;1;1
LOCALTEST 104;1;1
LOCALTEST 105;1;1
LOCALTEST 106;1;1
LOCALTEST 107;1;1
LOCALTEST 108;3;4
LOCALTEST 109;3;4
LOCALTEST 110;3;4
LOCALTEST 111;3;4
LOCALTEST 112;4;4
LOCALTEST 113;4;4
LOCALTEST 114;2;3
LOCALTEST 115;2;3
LOCALTEST 116;3;4
LOCALTEST 117;1;2
LOCALTEST 118;4;4
LOCALTEST 119;6;6
LOCALTEST 120;6;6
LOCALTEST 121;4;5
LOCALTEST 122;4;5
LOCALTEST 123;3;5
LOCALTEST 124;3;4
LOCALTEST 125;4;4
LOCALTEST 126;4;4
LOCALTEST 127;4;5
LOCALTEST 128;4;5
LOCALTEST 129;4;5
LOCALTEST 130;4;6
LOCALTEST 131;4;6
LOCALTEST 132;4;5
LOCALTEST 133;4;4
LOCALTEST 134;4;4
LOCALTEST 135;3;5
LOCALTEST 136;5;7
LOCALTEST 137;5;7
LOCALTEST 138;3;5
LOCALTEST 139;3;5
LOCALTEST 140;3;5
LOCALTEST 141;3;5
LOCALTEST 142;3;5
LOCALTEST 143;3;5
LOCALTEST 144;2;3
LOCALTEST 145;5;7
LOCALTEST 146;1;2
LOCALTEST 147;2;2
LOCALTEST 148;2;2
LOCALTEST 149;2;2
LOCALTEST 150;2;2
LOCALTEST 151;2;4
LOCALTEST 152;2;2
LOCALTEST 153;2;2
LOCALTEST 154;2;2
LOCALTEST 155;2;2
LOCALTEST 156;2;2
LOCALTEST 157;3;4
LOCALTEST 158;3;4
