ST_MONTH;AREA;COMPETENCY;HOURLY WORKLOAD
M2018_04;AREA 8;LOCALTEST 1;914.75
M2018_04;AREA 8;LOCALTEST 2;565.48
M2018_04;AREA 8;LOCALTEST 3;558.75
M2018_04;AREA 8;LOCALTEST 4;614.16
M2018_04;AREA 8;LOCALTEST 5;0
M2018_04;AREA 8;LOCALTEST 6;6.88
M2018_04;AREA 8;LOCALTEST 7;25.72
M2018_04;AREA 8;LOCALTEST 8;13.24
M2018_04;AREA 8;LOCALTEST 9;0
M2018_04;AREA 8;LOCALTEST 10;0
M2018_04;AREA 8;LOCALTEST 11;6.68
M2018_04;AREA 8;LOCALTEST 12;12
M2018_04;AREA 12;LOCALTEST 13;78.65
M2018_04;AREA 12;LOCALTEST 14;227.73
M2018_04;AREA 12;LOCALTEST 15;135.28
M2018_04;AREA 12;LOCALTEST 16;32.05
M2018_04;AREA 12;LOCALTEST 17;226.62
M2018_04;AREA 12;LOCALTEST 18;479.75
M2018_04;AREA 12;LOCALTEST 19;80.4
M2018_04;AREA 12;LOCALTEST 20;50.21
M2018_04;AREA 12;LOCALTEST 21;207.96
M2018_04;AREA 9;LOCALTEST 22;165.35
M2018_04;AREA 9;LOCALTEST 23;175.47
M2018_04;AREA 9;LOCALTEST 24;61.52
M2018_04;AREA 9;LOCALTEST 25;37.28
M2018_04;AREA 9;LOCALTEST 26;16.15
M2018_04;AREA 9;LOCALTEST 27;55.97
M2018_04;AREA 9;LOCALTEST 28;29.44
M2018_04;AREA 5;LOCALTEST 29;12.57
M2018_04;AREA 5;LOCALTEST 30;410.35
M2018_04;AREA 5;LOCALTEST 31;172.4
M2018_04;AREA 5;LOCALTEST 32;174.08
M2018_04;AREA 5;LOCALTEST 33;0
M2018_04;AREA 3;LOCALTEST 34;201.23
M2018_04;AREA 3;LOCALTEST 35;244.04
M2018_04;AREA 3;LOCALTEST 36;74.67
M2018_04;AREA 3;LOCALTEST 37;306.12
M2018_04;AREA 3;LOCALTEST 38;0
M2018_04;AREA 3;LOCALTEST 39;125.57
M2018_04;AREA 4;LOCALTEST 40;513.49
M2018_04;AREA 4;LOCALTEST 41;426.68
M2018_04;AREA 4;LOCALTEST 42;144.72
M2018_04;AREA 4;LOCALTEST 43;111.64
M2018_04;AREA 4;LOCALTEST 44;75.32
M2018_04;AREA 13;LOCALTEST 45;624.37
M2018_04;AREA 13;LOCALTEST 46;222.04
M2018_04;AREA 13;LOCALTEST 47;94.46
M2018_04;AREA 13;LOCALTEST 48;53.11
M2018_04;AREA 13;LOCALTEST 49;100.08
M2018_04;AREA 13;LOCALTEST 50;0
M2018_04;AREA 13;LOCALTEST 51;6.93
M2018_04;AREA 13;LOCALTEST 52;9.46
M2018_04;AREA 2;LOCALTEST 53;1010.89
M2018_04;AREA 2;LOCALTEST 54;224.1
M2018_04;AREA 2;LOCALTEST 55;440.43
M2018_04;AREA 2;LOCALTEST 56;145.44
M2018_04;AREA 2;LOCALTEST 57;388.18
M2018_04;AREA 2;LOCALTEST 58;33.69
M2018_04;AREA 2;LOCALTEST 59;7.6
M2018_04;AREA 10;LOCALTEST 60;459.96
M2018_04;AREA 10;LOCALTEST 61;102.24
M2018_04;AREA 10;LOCALTEST 62;754.52
