COMPETENCY 1;COMPETENCY 2;ASSOCIATION RULE
LOCALTEST 1;LOCALTEST 1;OK
LOCALTEST 2;LOCALTEST 1;OK
LOCALTEST 2;LOCALTEST 2;OK
LOCALTEST 3;LOCALTEST 1;GOOD
LOCALTEST 3;LOCALTEST 2;GOOD
LOCALTEST 3;LOCALTEST 3;OK
LOCALTEST 4;LOCALTEST 1;OK
LOCALTEST 4;LOCALTEST 2;OK
LOCALTEST 4;LOCALTEST 3;BAD
LOCALTEST 4;LOCALTEST 4;OK
LOCALTEST 5;LOCALTEST 1;FORBIDDEN
LOCALTEST 5;LOCALTEST 2;FORBIDDEN
LOCALTEST 5;LOCALTEST 3;FORBIDDEN
LOCALTEST 5;LOCALTEST 4;FORBIDDEN
LOCALTEST 5;LOCALTEST 5;OK
LOCALTEST 6;LOCALTEST 1;OK
LOCALTEST 6;LOCALTEST 2;GOOD
LOCALTEST 6;LOCALTEST 3;OK
LOCALTEST 6;LOCALTEST 4;BAD
LOCALTEST 6;LOCALTEST 5;FORBIDDEN
LOCALTEST 6;LOCALTEST 6;OK
LOCALTEST 7;LOCALTEST 1;GOOD
LOCALTEST 7;LOCALTEST 2;BAD
LOCALTEST 7;LOCALTEST 3;GOOD
LOCALTEST 7;LOCALTEST 4;BAD
LOCALTEST 7;LOCALTEST 5;FORBIDDEN
LOCALTEST 7;LOCALTEST 6;BAD
LOCALTEST 7;LOCALTEST 7;OK
LOCALTEST 8;LOCALTEST 1;GOOD
LOCALTEST 8;LOCALTEST 2;BAD
LOCALTEST 8;LOCALTEST 3;GOOD
LOCALTEST 8;LOCALTEST 4;BAD
LOCALTEST 8;LOCALTEST 5;FORBIDDEN
LOCALTEST 8;LOCALTEST 6;BAD
LOCALTEST 8;LOCALTEST 7;GOOD
LOCALTEST 8;LOCALTEST 8;OK
LOCALTEST 9;LOCALTEST 1;OK
LOCALTEST 9;LOCALTEST 2;OK
LOCALTEST 9;LOCALTEST 3;OK
LOCALTEST 9;LOCALTEST 4;OK
LOCALTEST 9;LOCALTEST 5;FORBIDDEN
LOCALTEST 9;LOCALTEST 6;OK
LOCALTEST 9;LOCALTEST 7;OK
LOCALTEST 9;LOCALTEST 8;OK
LOCALTEST 9;LOCALTEST 9;OK
LOCALTEST 10;LOCALTEST 1;OK
LOCALTEST 10;LOCALTEST 2;GOOD
LOCALTEST 10;LOCALTEST 3;OK
LOCALTEST 10;LOCALTEST 4;BAD
LOCALTEST 10;LOCALTEST 5;FORBIDDEN
LOCALTEST 10;LOCALTEST 6;OK
LOCALTEST 10;LOCALTEST 7;OK
